offer_name,product_id,offer_discount_percentage,offer_start_date,offer_end_date
Gooseberry Seasonal Saver,46,4.85,2021-03-05,2021-04-02
Damson Delighter,34,11.95,2021-03-12,2021-03-26
Not Mushroom for a Discount,107,0.78,2021-04-06,2021-05-13
Parsnipped Price,112,8.50,2021-05-03,2021-06-30
Little Gem of a Discount,105,12.30,2021-05-25,2021-06-25
Offer from the Savoy,76,7.00,2021-05-04,2021-07-01
Peppered with Green Promise,86,14.25,2021-06-14,2021-07-21
Cannot Beat this Rooted Deal,68,18.56,2021-06-19,2021-07-06
An offer to be Gladioli about,5,9.95,2021-06-29,2021-07-15
A Plum deal,51,7.45,2021-07-05,2021-07-29
Forced Rhubarb and custard,114,4.85,2021-07-18,2021-07-26
A Runner for your money,117,2.38,2021-07-26,2021-08-13
A Vine deal on Tomatoes,127,11.25,2021-08-09,2021-08-24
Turnip early,128,7.65,2021-08-18,2021-08-30
Watercress down,129,1.99,2021-08-25,2021-09-14
Sweeeeeede,122,4.44,2021-08-28,2021-09-09
Better than currant price,33,0.95,2021-08-31,2021-09-12
Tip of the Iceberg,104,1.25,2021-09-02,2021-09-21
Discovery of a deal,37,6.84,2021-09-04,2021-09-25
